iter	Passed	Remaining
399	69793	104690
400	69988	104546
401	70183	104403
402	70352	104219
403	70505	104013
404	70693	103857
405	70873	103691
406	71050	103520
407	71224	103345
408	71390	103158
409	71572	102994
410	71731	102797
411	71925	102650
412	72346	102825
413	72524	102655
414	72686	102461
415	72852	102273
416	73008	102072
417	73181	101894
418	73387	101762
419	73574	101602
420	73717	101383
421	73885	101198
422	74100	101077
423	74240	100854
424	74614	100949
425	74775	100753
426	74988	100629
427	75151	100436
428	75303	100229
429	75448	100012
430	75645	99866
431	75808	99674
432	75992	99510
433	76145	99304
434	76332	99144
435	76482	98935
436	76648	98748
437	76832	98584
438	77016	98419
439	77162	98206
440	77343	98038
441	77491	97828
442	77643	97623
443	77819	97449
444	77989	97268
445	78138	97059
446	78314	96885
447	78454	96667
448	78608	96466
449	78742	96241
450	78973	96133
451	79124	95929
452	79284	95737
453	79455	95557
454	79639	95391
455	79807	95209
456	79995	95048
457	80190	94897
458	80332	94684
459	80540	94547
460	80752	94415
461	80939	94254
462	81109	94072
463	81287	93901
464	81445	93706
465	81639	93552
466	81826	93390
467	81997	93210
468	82163	93025
469	82330	92840
470	82502	92662
471	82676	92485
472	82896	92360
473	83047	92157
474	83214	91974
475	83386	91794
476	83562	91620
477	83716	91422
478	83914	91272
479	84093	91100
480	84278	90936
481	84436	90743
482	84602	90558
483	84761	90365
484	84961	90216
485	85129	90034
486	85310	89865
487	85454	89656
488	85598	89449
489	85779	89281
490	85985	89138
491	86118	88919
492	86286	88736
493	86443	88542
494	86599	88348
495	86736	88135
496	86957	88007
497	87113	87813
498	87275	87625
499	87457	87457
500	87825	87474
501	88017	87316
502	88166	87115
503	88340	86938
504	88503	86750
505	88674	86571
506	88891	86437
507	89063	86258
508	89237	86082
509	89435	85927
510	89579	85722
511	89756	85549
512	89975	85415
513	90131	85222
514	90287	85028
515	90470	84860
516	90617	84658
517	90763	84455
518	90988	84326
519	91128	84118
520	91286	83927
521	91474	83764
522	91596	83540
523	91762	83356
524	91982	83222
525	92141	83032
526	92311	82852
527	92486	82677
528	92633	82476
529	92790	82285
530	92992	82134
531	93177	81968
532	93335	81777
533	93481	81577
534	93678	81421
535	93864	81255
536	94026	81069
537	94215	80906
538	94362	80706
539	94508	80506
540	94672	80322
541	94854	80153
542	95022	79972
543	95186	79788
544	95389	79636
545	95540	79442
546	95703	79256
547	95913	79111
548	96091	78938
549	96237	78739
550	96390	78547
551	96566	78372
552	96730	78188
553	96908	78016
554	97060	77823
555	97251	77661
556	97413	77476
557	97577	77292
558	97749	77115
559	97959	76968
560	98116	76779
561	98286	76600
562	98434	76404
563	98583	76210
564	98771	76045
565	98971	75889
566	99121	75695
567	99260	75493
568	99435	75319
569	99577	75119
570	99728	74927
571	99957	74793
572	100248	74705
573	100455	74554
574	100644	74389
575	100808	74205
576	100982	74030
577	101155	73853
578	101317	73669
579	101465	73475
580	101657	73312
581	101874	73167
582	102011	72965
583	102180	72786
584	102362	72615
585	102514	72424
586	102664	72232
587	102878	72085
588	103049	71907
589	103237	71741
590	103408	71563
591	103564	71375
592	103746	71205
593	103981	71071
594	104177	70910
595	104337	70725
596	104501	70542
597	104694	70380
598	104907	70230
599	105066	70044
600	105240	69868
601	105420	69696
602	105563	69500
603	105747	69331
604	105948	69172
605	106116	68993
606	106265	68801
607	106440	68626
608	106631	68461
609	106784	68272
610	106978	68109
611	107161	67938
612	107302	67742
613	107463	67558
614	107650	67391
615	107820	67213
616	107989	67033
617	108169	66861
618	108335	66681
619	108479	66487
620	108625	66294
621	108784	66110
622	108998	65959
623	109154	65772
624	109328	65597
625	109491	65415
626	109631	65219
627	109769	65022
628	109997	64879
629	110163	64699
630	110318	64512
631	110484	64332
632	110659	64158
633	110805	63966
634	111211	63924
635	111362	63735
636	111512	63546
637	111656	63353
638	111843	63185
639	112025	63014
640	112174	62824
641	112329	62638
642	112512	62468
643	112696	62298
644	112896	62136
645	113094	61974
646	113265	61796
647	113401	61600
648	113565	61419
649	113746	61248
650	113937	61081
651	114105	60903
652	114306	60741
653	114455	60553
654	114611	60367
655	114805	60203
656	115017	60047
657	115162	59856
658	115325	59675
659	115501	59500
660	115649	59311
661	115835	59142
662	116031	58978
663	116178	58789
664	116326	58600
665	116512	58431
666	116678	58251
667	116865	58082
668	117063	57919
669	117209	57730
670	117369	57547
671	117554	57377
672	117719	57197
673	117909	57030
674	118083	56854
675	118266	56683
676	118427	56502
677	118586	56319
678	118749	56139
679	118924	55964
680	119072	55777
681	119258	55607
682	119407	55420
683	119557	55234
684	119722	55055
685	119895	54879
686	120045	54693
687	120207	54512
688	120386	54339
689	120534	54153
690	120691	53970
691	120920	53820
692	121067	53632
693	121235	53455
694	121420	53285
695	121576	53102
696	121726	52916
697	121928	52754
698	122104	52580
699	122274	52403
700	122426	52218
701	122609	52047
702	122766	51865
703	122941	51691
704	123284	51586
705	123484	51422
706	123646	51242
707	123858	51082
708	124060	50918
709	124209	50733
710	124414	50570
711	124588	50395
712	124749	50214
713	124960	50054
714	125163	49890
715	125327	49711
716	125508	49538
717	125648	49349
718	125797	49164
719	126012	49004
720	126186	48829
721	126370	48658
722	126564	48490
723	126731	48312
724	126928	48145
725	127077	47960
726	127230	47777
727	127416	47606
728	127603	47435
729	127773	47258
730	127956	47086
731	128165	46923
732	128335	46747
733	128528	46578
734	128705	46404
735	128907	46238
736	129077	46061
737	129253	45886
738	129405	45703
739	129568	45523
740	129749	45350
741	129954	45186
742	130112	45005
743	130311	44838
744	130484	44662
745	130643	44481
746	130838	44313
747	131008	44136
748	131157	43952
749	131296	43765
750	131476	43592
751	131660	43420
752	131837	43245
753	132134	43110
754	132353	42949
755	132488	42760
756	132654	42582
757	132848	42413
758	132996	42229
759	133147	42046
760	133327	41873
761	133487	41692
762	133648	41513
763	133850	41346
764	134021	41170
765	134176	40988
766	134358	40815
767	134539	40642
768	134708	40465
769	134901	40295
770	135054	40113
771	135219	39935
772	135401	39762
773	135539	39576
774	135698	39396
775	135919	39234
776	136089	39057
777	136244	38877
778	136555	38740
779	136748	38570
780	136986	38412
781	137141	38231
782	137317	38056
783	137500	37882
784	137654	37701
785	137863	37535
786	138044	37361
787	138206	37182
788	138350	36998
789	138503	36817
790	138685	36643
791	138910	36481
792	139047	36296
793	139182	36110
794	139366	35937
795	139542	35762
796	139719	35587
797	139920	35418
798	140085	35240
799	140270	35067
800	140478	34900
801	140731	34744
802	141017	34595
803	141175	34415
804	141369	34244
805	141559	34072
806	141727	33895
807	141915	33722
808	142118	33553
809	142298	33378
810	142466	33201
811	142655	33028
812	142858	32859
813	143071	32691
814	143277	32523
815	143461	32349
816	143647	32175
817	143865	32009
818	144067	31839
819	144226	31659
820	144390	31480
821	144559	31303
822	144752	31131
823	144949	30960
824	145138	30786
825	145323	30613
826	145510	30439
827	145701	30266
828	145918	30099
829	146094	29922
830	146266	29746
831	146441	29569
832	146597	29389
833	146774	29214
834	147007	29049
835	147187	28874
836	147398	28704
837	147566	28527
838	147723	28347
839	147929	28176
840	148125	28004
841	148278	27824
842	148430	27643
843	148609	27468
844	148797	27294
845	148969	27117
846	149306	26970
847	149491	26795
848	149662	26618
849	149894	26451
850	150053	26272
851	150223	26095
852	150394	25917
853	150541	25736
854	150738	25563
855	150955	25394
856	151113	25215
857	151284	25037
858	151450	24859
859	151617	24681
860	151784	24504
861	151969	24329
862	152178	24158
863	152341	23979
864	152509	23802
865	152670	23623
866	152854	23448
867	153038	23273
868	153227	23098
869	153391	22920
870	153548	22741
871	153760	22570
872	153925	22392
873	154108	22216
874	154293	22041
875	154460	21864
876	154625	21686
877	154845	21516
878	155011	21338
879	155191	21162
880	155374	20987
881	155553	20810
882	155724	20633
883	155952	20464
884	156119	20286
885	156319	20113
886	156508	19938
887	156665	19759
888	156869	19586
889	157037	19409
890	157191	19229
891	157372	19054
892	157554	18878
893	157692	18697
894	157893	18523
895	158080	18348
896	158243	18170
897	158406	17992
898	158572	17815
899	158753	17639
900	159077	17479
901	159258	17303
902	159411	17123
903	159556	16944
904	159729	16767
905	159940	16594
906	160102	16416
907	160298	16241
908	160464	16064
909	160603	15883
910	160768	15706
911	160968	15532
912	161131	15354
913	161292	15176
914	161612	15013
915	161849	14842
916	162008	14663
917	162182	14486
918	162338	14308
919	162504	14130
920	162641	13950
921	162858	13777
922	163031	13600
923	163198	13423
924	163353	13244
925	163529	13068
926	163691	12890
927	163949	12720
928	164116	12542
929	164304	12366
930	164486	12190
931	164625	12011
932	164829	11836
933	165034	11661
934	165194	11484
935	165376	11307
936	165565	11131
937	165743	10955
938	165931	10779
939	166103	10602
940	166277	10425
941	166431	10247
942	166576	10068
943	166784	9894
944	166972	9717
945	167118	9539
946	167277	9361
947	167457	9185
948	167598	9006
949	167778	8830
950	167993	8655
951	168140	8477
952	168294	8299
953	168484	8124
954	168640	7946
955	168845	7771
956	169026	7594
957	169183	7417
958	169358	7240
959	169522	7063
960	169681	6886
961	169872	6710
962	170054	6533
963	170228	6357
964	170391	6180
965	170543	6002
966	170754	5827
967	170930	5650
968	171095	5473
969	171264	5296
970	171418	5119
971	171596	4943
972	171840	4768
973	171981	4590
974	172141	4413
975	172322	4237
976	172482	4060
977	172662	3884
978	172906	3708
979	173041	3531
980	173392	3358
981	173574	3181
982	173755	3004
983	173941	2828
984	174099	2651
985	174269	2474
986	174442	2297
987	174607	2120
988	174804	1944
989	174988	1767
990	175135	1590
991	175302	1413
992	175495	1237
993	175645	1060
994	175851	883
995	176031	706
996	176194	530
997	176371	353
998	176545	176
999	176716	0
