iter	Logloss
0	0.6354162365
1	0.5842471942
2	0.5417237785
3	0.5052238231
4	0.4735626112
5	0.4460467817
6	0.4217336521
7	0.4023912674
8	0.3852326034
9	0.3702186259
10	0.3565998252
11	0.3453410252
12	0.3353021906
13	0.3262713282
14	0.3184664731
15	0.3118875512
16	0.3059143498
17	0.3006464167
18	0.2961487413
19	0.2925220799
20	0.2891398406
21	0.2859828497
22	0.2831567297
23	0.2805061458
24	0.2782597105
25	0.2765159666
26	0.2747098081
27	0.273571051
28	0.2718103404
29	0.2706399434
30	0.2695273947
31	0.2683605674
32	0.267311358
33	0.2664036836
34	0.2656912494
35	0.265212627
36	0.2645566436
37	0.2641015743
38	0.2635714169
39	0.2629866746
40	0.2622219203
41	0.2617217997
42	0.2612504667
43	0.2609215789
44	0.2605397669
45	0.2600291367
46	0.2596864698
47	0.2593995528
48	0.2591395367
49	0.2589805316
50	0.2587128809
51	0.258489363
52	0.2583095482
53	0.2581308904
54	0.2577279009
55	0.2576353424
56	0.2573411895
57	0.2572146895
58	0.2570964509
59	0.2569588453
60	0.2568500928
61	0.2565939239
62	0.2564773519
63	0.2563865012
64	0.2562917603
65	0.2561985299
66	0.2561387314
67	0.2560600858
68	0.2559753161
69	0.2557969008
70	0.255732018
71	0.2556534998
72	0.2554741084
73	0.2553408903
74	0.2552922714
75	0.2552342136
76	0.2551824894
77	0.2551116531
78	0.2550637494
79	0.2550236323
80	0.2549620376
81	0.2548771672
82	0.2548210596
83	0.2547621571
84	0.2546967791
85	0.2546323649
86	0.2545780411
87	0.2545250037
88	0.2545036433
89	0.2544376179
90	0.254394075
91	0.2542907418
92	0.2542071271
93	0.2541514613
94	0.2541266607
95	0.2540935329
96	0.2540629267
97	0.2539805306
98	0.2539382434
99	0.2538995011
100	0.2538261967
101	0.2538072016
102	0.2537760262
103	0.2537496473
104	0.2536516881
105	0.2536282582
106	0.2536035542
107	0.2535767581
108	0.2535547585
109	0.2535201593
110	0.2534519535
111	0.2534291997
112	0.2534138298
113	0.2533676359
114	0.2533481476
115	0.2533214913
116	0.2533079031
117	0.2532866989
118	0.2532693438
119	0.2532472353
120	0.2532199008
121	0.2531576568
122	0.2531132096
123	0.2530871143
124	0.2530676631
125	0.2530495311
126	0.2530030618
127	0.2529863602
128	0.2529631955
129	0.2529294861
130	0.2528750328
131	0.2528213379
132	0.2527687198
133	0.2527198049
134	0.2526967717
135	0.2526559394
136	0.2525907443
137	0.2525725918
138	0.2525590633
139	0.252514236
140	0.2525036215
141	0.2524734058
142	0.2524193985
143	0.2524043738
144	0.2523520661
145	0.2523166674
146	0.2522891849
147	0.2522654386
148	0.2522218916
149	0.2521918628
150	0.2521484022
151	0.2521230816
152	0.2521127836
153	0.252086228
154	0.2520661396
155	0.2520562609
156	0.2520362198
157	0.2520184558
158	0.2519717152
159	0.2519587847
160	0.251942044
161	0.2519200342
162	0.2519023298
163	0.2518741177
164	0.2518302008
165	0.2518090356
166	0.2517868182
167	0.251760318
168	0.2517450715
169	0.2517317628
170	0.2517206161
171	0.2516482159
172	0.2515884811
173	0.2515792641
174	0.2515350019
175	0.251518662
176	0.2514959103
177	0.2514849259
178	0.2514749917
179	0.2514592437
180	0.2514489416
181	0.2514371558
182	0.2514113728
183	0.2513854686
184	0.2513692541
185	0.2513199056
186	0.251307458
187	0.2512649139
188	0.251249918
189	0.2512248852
190	0.2511812231
191	0.2511691187
192	0.251145954
193	0.251079384
194	0.2510527543
195	0.2510432167
196	0.2510146245
197	0.2510013981
198	0.2509904486
199	0.2509656213
200	0.250941616
201	0.2509257858
202	0.2508999781
203	0.2508824771
204	0.2508719983
205	0.2508256503
206	0.2507988562
207	0.2507767642
208	0.2507566943
209	0.2507224219
210	0.2507086426
211	0.2506997339
212	0.2506888667
213	0.2506757471
214	0.2506570747
215	0.2506495346
216	0.2506374672
217	0.250598986
218	0.2505907513
219	0.2505781455
220	0.2505508212
221	0.250528238
222	0.2505174797
223	0.2505048102
224	0.2504929031
225	0.250468158
226	0.2504533347
227	0.2504323196
228	0.2504162489
229	0.2503869723
230	0.2503746542
231	0.2503577862
232	0.250319496
233	0.2502941549
234	0.2502836905
235	0.2502485816
236	0.2502297839
237	0.2502046791
238	0.2501728748
239	0.2501636167
240	0.2501562554
241	0.2501418843
242	0.2501340175
243	0.2501083024
244	0.2500985017
245	0.2500728729
246	0.2500367899
247	0.2500259802
248	0.250005859
249	0.2499863029
250	0.2499789191
251	0.2499717654
252	0.249944326
253	0.249932421
254	0.2499243096
255	0.2498826327
256	0.2498578732
257	0.2498382144
258	0.2498210936
259	0.2497948441
260	0.2497848565
261	0.2497683172
262	0.249729838
263	0.2497025323
264	0.2496945565
265	0.2496851587
266	0.2496531283
267	0.249619347
268	0.2495913898
269	0.249563297
270	0.2495536011
271	0.2495250932
272	0.2494993986
273	0.2494803419
274	0.2494664866
275	0.2494503296
276	0.2494227855
277	0.249390827
278	0.249380379
279	0.2493699947
280	0.2493307613
281	0.2493030569
282	0.2492658642
283	0.2492498881
284	0.2492405662
285	0.2492314335
286	0.2492134167
287	0.2491771919
288	0.2491680612
289	0.2491459856
290	0.2491201102
291	0.2490915488
292	0.2490635196
293	0.2490413228
294	0.2490096356
295	0.2489864626
296	0.24896532
297	0.2489499173
298	0.2489275663
299	0.2489103612
300	0.2488810559
301	0.2488594961
302	0.2488240687
303	0.2488108607
304	0.2487873692
305	0.2487724
306	0.248753366
307	0.2487378502
308	0.2487160541
309	0.2487012925
310	0.2486871803
311	0.2486557479
312	0.2486415494
313	0.2486076387
314	0.2485958611
315	0.24857306
316	0.2485646404
317	0.2485485923
318	0.2485215414
319	0.248492384
320	0.2484776861
321	0.2484663956
322	0.2484460051
323	0.248435103
324	0.2484212189
325	0.2484127643
326	0.24840178
327	0.2483887015
328	0.2483634015
329	0.2483460525
330	0.2483315561
331	0.2483195462
332	0.2482900888
333	0.248274386
334	0.2482458451
335	0.2482328406
336	0.2482105143
337	0.2481992463
338	0.2481882538
339	0.2481643615
340	0.2481503007
341	0.2481360939
342	0.2481241766
343	0.2481047027
344	0.2480967208
345	0.2480873579
